Date,Open,High,Low,Close,Adj Close,Volume
2014/1/2,19.845714569091797,19.89392852783203,19.71500015258789,19.754642486572266,17.253253936767578,234684800
2014/1/3,19.7450008392334,19.774999618530273,19.301071166992188,19.320714950561523,16.874277114868164,392467600
2014/1/6,19.194643020629883,19.5285701751709,19.05714225769043,19.426071166992188,16.966293334960938,412610800
2014/1/7,19.440000534057617,19.498571395874023,19.211429595947266,19.28714370727539,16.844955444335938,317209200
2014/1/8,19.243213653564453,19.484285354614258,19.238929748535156,19.409286499023438,16.951631546020508,258529600
2014/1/9,19.5285701751709,19.53071403503418,19.11964225769043,19.161428451538086,16.735158920288086,279148800
2014/1/10,19.27964210510254,19.314285278320312,18.96821403503418,19.033571243286133,16.62349510192871,304976000
2014/1/13,18.925357818603516,19.375,18.924285888671875,19.133214950561523,16.71051597595215,378492800
2014/1/14,19.222143173217773,19.526071548461914,19.2021427154541,19.51392936706543,17.043025970458984,332561600
2014/1/15,19.768571853637695,20.007143020629883,19.7021427154541,19.90571403503418,17.38519859313965,391638800
2014/1/16,19.81785774230957,19.887500762939453,19.702856063842773,19.79464340209961,17.288192749023438,229278000
2014/1/17,19.695714950561523,19.716785430908203,19.282142639160156,19.309642791748047,16.864606857299805,426739600
2014/1/21,19.32107162475586,19.645357131958008,19.30071449279785,19.609643936157227,17.126619338989258,328526800
2014/1/22,19.675357818603516,19.903213500976562,19.56464385986328,19.696786880493164,17.202733993530273,379985200
2014/1/23,19.640714645385742,19.875,19.457500457763672,19.863571166992188,17.3483943939209,403239200
2014/1/24,19.78571319580078,19.843570709228516,19.45535659790039,19.502500534057617,17.033050537109375,429354800
2014/1/27,19.645357131958008,19.814285278320312,19.491071701049805,19.66071319580078,17.171218872070312,554878800
2014/1/28,18.170000076293945,18.39285659790039,17.93107032775879,18.08928680419922,15.798773765563965,1065523200
2014/1/29,17.998214721679688,18.120357513427734,17.807857513427734,17.883928298950195,15.619422912597656,502810000
2014/1/30,17.947856903076172,18.08928680419922,17.739286422729492,17.849285125732422,15.589162826538086,678501600
2014/1/31,17.684999465942383,17.911785125732422,17.626785278320312,17.878570556640625,15.61474323272705,464797200
2014/2/3,17.95035743713379,18.133214950561523,17.832143783569336,17.911785125732422,15.643754959106445,401464000
2014/2/4,18.066070556640625,18.19499969482422,17.955713272094727,18.171070098876953,15.870200157165527,376681200
2014/2/5,18.091428756713867,18.402856826782227,18.08035659790039,18.306785583496094,15.988725662231445,328344800
2014/2/6,18.216428756713867,18.33928680419922,18.136070251464844,18.30392837524414,16.08193016052246,257765200
2014/2/7,18.62071418762207,18.676071166992188,18.47785758972168,18.559999465942383,16.30691146850586,370280400
2014/2/10,18.523571014404297,18.999643325805664,18.5,18.892499923706055,16.59905242919922,345559200
2014/2/11,18.95035743713379,19.20535659790039,18.91071319580078,19.141429901123047,16.81775665283203,282256800
2014/2/12,19.176786422729492,19.270000457763672,19.044286727905273,19.139999389648438,16.816505432128906,308100800
2014/2/13,19.094999313354492,19.45892906188965,19.078571319580078,19.44392967224121,17.083532333374023,307398000
2014/2/14,19.37392807006836,19.499286651611328,19.328929901123047,19.428213119506836,17.069725036621094,272924400
2014/2/18,19.5,19.68535614013672,19.48607063293457,19.499643325805664,17.132495880126953,260251600
2014/2/19,19.45535659790039,19.53178596496582,19.08392906188965,19.19178581237793,16.86200523376465,313768000
2014/2/20,19.035356521606445,19.178571701049805,18.89285659790039,18.969642639160156,16.666828155517578,305858000
2014/2/21,19.028213500976562,19.091785430908203,18.735713958740234,18.758928298950195,16.4816951751709,278784800
2014/2/24,18.683929443359375,18.92571449279785,18.65785789489746,18.8410701751709,16.553865432739258,288909600
2014/2/25,18.906429290771484,18.9132137298584,18.60714340209961,18.645000457763672,16.381593704223633,231952000
2014/2/26,18.70035743713379,18.75,18.41428565979004,18.47678565979004,16.233795166015625,276217200
2014/2/27,18.46928596496582,18.885000228881836,18.430356979370117,18.84535789489746,16.557632446289062,301882000
2014/2/28,18.895713806152344,19.02678680419922,18.64714241027832,18.794286727905273,16.51276206970215,371968800
2014/3/3,18.693571090698242,18.951786041259766,18.671785354614258,18.84857177734375,16.560457229614258,238781200
2014/3/4,18.96428680419922,19.022857666015625,18.848928451538086,18.972856521606445,16.669654846191406,259140000
2014/3/5,18.961429595947266,19.09821319580078,18.897499084472656,19.01285743713379,16.704790115356445,200062800
2014/3/6,19.028213500976562,19.087142944335938,18.860713958740234,18.95535659790039,16.654273986816406,185488800
2014/3/7,18.967500686645508,18.999286651611328,18.787500381469727,18.944286346435547,16.64455223083496,220729600
2014/3/10,18.8700008392334,19.047500610351562,18.869285583496094,18.961429595947266,16.659610748291016,178584000
2014/3/11,19.123214721679688,19.240713119506836,19.02107048034668,19.14607048034668,16.821836471557617,279224400
2014/3/12,19.089643478393555,19.191070556640625,19,19.164642333984375,16.838153839111328,199326400
2014/3/13,19.194286346435547,19.273571014404297,18.898571014404297,18.951786041259766,16.651142120361328,257742800
2014/3/14,18.885356903076172,18.960357666015625,18.678571701049805,18.738929748535156,16.464122772216797,237199200
2014/3/17,18.8464298248291,18.927499771118164,18.780357360839844,18.812143325805664,16.528444290161133,199544800
2014/3/18,18.782142639160156,18.99892807006836,18.757143020629883,18.97857093811035,16.674673080444336,209647200
2014/3/19,19.009286880493164,19.15142822265625,18.89285659790039,18.97357177734375,16.67028045654297,224756000
2014/3/20,18.92464256286621,19.023929595947266,18.83392906188965,18.882143020629883,16.589948654174805,208398400
2014/3/21,18.997499465942383,19.0625,18.797500610351562,19.031070709228516,16.720802307128906,374046400
2014/3/24,19.229286193847656,19.303571701049805,19.109285354614258,19.256786346435547,16.919113159179688,355700800
2014/3/25,19.33928680419922,19.491071701049805,19.27107048034668,19.46392822265625,17.101112365722656,282293200
2014/3/26,19.518571853637695,19.60714340209961,19.2450008392334,19.277856826782227,16.937623977661133,299768000
2014/3/27,19.286428451538086,19.33928680419922,19.11142921447754,19.19499969482422,16.86482810974121,222031600
2014/3/28,19.2257137298584,19.24785614013672,19.08035659790039,19.17357063293457,16.84600067138672,200564000
2014/3/31,19.258214950561523,19.31464385986328,19.140356063842773,19.169286727905273,16.84223747253418,168669200
2014/4/1,19.205713272094727,19.352500915527344,19.17035675048828,19.344642639160156,16.996305465698242,200760000
2014/4/2,19.37071418762207,19.40999984741211,19.295000076293945,19.376785278320312,17.024547576904297,180420800
2014/4/3,19.335357666015625,19.375,19.20142936706543,19.24250030517578,16.906558990478516,162344000
2014/4/4,19.278928756713867,19.28571319580078,18.94928550720215,18.99357032775879,16.687856674194336,275251200
2014/4/7,18.85785675048828,18.96071434020996,18.63892936706543,18.695356369018555,16.42583656311035,289850400
2014/4/8,18.756786346435547,18.790000915527344,18.524999618530273,18.694286346435547,16.424907684326172,243888400
2014/4/9,18.665714263916016,18.94607162475586,18.643571853637695,18.940000534057617,16.64078140258789,206169600
2014/4/10,18.952856063842773,19.00857162475586,18.684642791748047,18.695714950561523,16.426156997680664,239652000
2014/4/11,18.53571319580078,18.672500610351562,18.46928596496582,18.5575008392334,16.304712295532227,271717600
2014/4/14,18.639286041259766,18.648571014404297,18.471786499023438,18.63142967224121,16.369670867919922,205674000
2014/4/15,18.581071853637695,18.6299991607666,18.26178550720215,18.498571395874023,16.252939224243164,266490000
2014/4/16,18.501785278320312,18.6103572845459,18.36214256286621,18.53607177734375,16.285884857177734,214765600
2014/4/17,18.571428298950195,18.84857177734375,18.542856216430664,18.74785614013672,16.471960067749023,284334400
2014/4/21,18.762142181396484,19.0049991607666,18.71285629272461,18.97035789489746,16.667457580566406,182548800
2014/4/22,18.868213653564453,18.993928909301758,18.803571701049805,18.989286422729492,16.684091567993164,202563200
2014/4/23,18.895000457763672,18.968929290771484,18.730356216430664,18.741071701049805,16.46600341796875,394940000
2014/4/24,20.293214797973633,20.35714340209961,20.026071548461914,20.27750015258789,17.815916061401367,759911600
2014/4/25,20.161785125732422,20.428213119506836,20.141429901123047,20.426429748535156,17.946765899658203,390275200
2014/4/28,20.457143783569336,21.27678680419922,20.448213577270508,21.217500686645508,18.641807556152344,669485600
2014/4/29,21.204999923706055,21.28499984741211,21.05392837524414,21.15464210510254,18.586584091186523,337377600
2014/4/30,21.165714263916016,21.408214569091797,21.064285278320312,21.074642181396484,18.516294479370117,456640800
2014/5/1,21.14285659790039,21.242856979370117,20.941429138183594,21.124286651611328,18.55990982055664,244048000
2014/5/2,21.155000686645508,21.2214298248291,21.061071395874023,21.163570404052734,18.594425201416016,191514400
2014/5/5,21.07642936706543,21.46428680419922,21.071428298950195,21.46285629272461,18.857376098632812,287067200
2014/5/6,21.492856979370117,21.586071014404297,21.22892951965332,21.22892951965332,18.65184783935547,374564400
2014/5/7,21.258928298950195,21.331785202026367,20.9903564453125,21.15464210510254,18.586584091186523,282864400
